"romaji","hiragana","definition","priority","type","japanese"
"Error","","","9147","",""
"suishitsu","すいしつ","water quality","9148","Unknown","水質"
"Error","","","9149","",""
"beddo","ベッド","a bed (a piece of furniture to sleep on)","9150","Noun","ベッド"
"kyōi","きょうい","a marvel, a wonder","9151","Unknown","驚異"
"Ōhara","おおはら","A surname​.","9152","Unknown","大原"
"MakuDonarudo","マクドナルド","McDonald's (fast food restaurant chain)","9153","Proper noun","マクドナルド"
"kigan","きがん","prayer","9154","Unknown","祈願"
"dōwa","どうわ","fairy tale","9155","Noun","童話"
"seihoku","せいほく","northwest","9156","Unknown","西北"
"Error","","","9157","",""
"Yoshimura","よしむら","A surname​.","9158","Unknown","吉村"
"kokumei","こくめい","the name of a country","9159","Noun","国名"
"yōsō","ようそう","aspect","9160","Noun","様相"
"Error","","","9161","",""
"Suparuta","スパルタ","Sparta (ancient city-state in southern Greece)","9162","Proper noun","スパルタ"
"Error","","","9163","",""
"Error","","","9164","",""
"Error","","","9165","",""
"dairinin","だいりにん","agent - One who acts for, or in the place of, another, by authority from him; one intrusted with the business of another; a substitute; a deputy; a factor; a representative; a proxy.","9166","Unknown","代理人"
"Error","","","9167","",""
"shinpu","しんぷ","a father, a priest (Catholic or Orthodox)","9168","Noun","神父"
"fue","ふえ","(music) flute, whistle, pipe","9169","Noun","笛"
"chijin","ちじん","acquaintance","9170","Unknown","知人"
"bukai","ぶかい","section meeting, a meeting of the various sections of an organization","9171","Noun","部会"
"Error","","","9172","",""
"Error","","","9173","",""
"Error","","","9174","",""
"tekkō","てっこう","iron and steel","9175","Unknown","鉄鋼"
"shokuzai","しょくざい","ingredient of food","9176","Noun","食材"
"Error","","","9177","",""
"Ansonī","アンソニー","Anthony","9178","Unknown","アンソニー"
"Error","","","9179","",""
"Error","","","9180","",""
"narasu","ならす","sound, ring, honk, ring, twang","9181","Unknown","鳴らす"
"Error","","","9182","",""
"tekidan","てきだん","grenade","9183","Unknown","擲弾"
"Error","","","9184","",""
"Error","","","9185","",""
"makura","まくら","pillow","9186","Noun","枕"
"Error","","","9187","",""
"dokushin","どくしん","unmarried","9188","Noun","独身"
"kyūkei","きゅうけい","a rest; a break","9189","Unknown","休憩"
"shōten","しょうてん","prize, award","9190","Noun","賞典"
"Error","","","9191","",""
"hekutāru","ヘクタール","hectare - a unit of surface area (symbol ha) equal to 100 ares (that is, 10,000 square metres, one hundredth of a square kilometre, or approximately 2.5 acres), used for measuring the areas of geographical features such as land and bodies of water.","9192","Unknown","ヘクタール"
"Error","","","9193","",""
"zatsu","ざつ","rough, crude, sloppy, messy","9194","Adjectival noun","雑"
"toriokonau","とりおこなう","perform, hold (a ceremony)","9195","Unknown","執り行う"
"Sauji Arabia","サウジアラビア","Saudi Arabia","9196","Unknown","サウジアラビア"
"senren","せんれん","refinement, polish (cleanliness in performance or presentation)","9197","Unknown","洗練"
"chie","ちえ","wisdom, intelligence","9198","Noun","知恵"
"hōsō","ほうそう","packaging, package","9199","Unknown","包装"
"Risubon","リスボン","Lisbon","9200","Proper noun","リスボン"
"jindō","じんどう","humanity","9201","Noun","人道"
"Error","","","9202","",""
"Error","","","9203","",""
"sukurōru","スクロール","scrolling as a method of using the GUI of a piece of software","9204","Noun","スクロール"
"noizu","ノイズ","noise, unwanted sounds","9205","Noun","ノイズ"
"haien","はいえん","(medicine) pneumonia","9206","Noun","肺炎"
"Takeda","たけだ","A surname​.","9207","Proper noun","竹田"
"enjō","えんじょう","going up in flames, to be consumed in flames (especially for a building)","9208","Unknown","炎上"
"Error","","","9209","",""
"kegawa","けがわ","fur, pelt","9210","Unknown","毛皮"
"Error","","","9211","",""
"shōjun","しょうじゅん","one's aim, a sight at something","9212","Unknown","照準"
"amu","あむ","knit","9213","Verb","編む"
"furēzu","フレーズ","(music) phrase (small section of music in a larger piece)","9214","Noun","フレーズ"
"Error","","","9215","",""
"kessan","けっさん","settlement of accounts","9216","Unknown","決算"
"ichigo","いちご","lifetime","9217","Unknown","一期"
"Beogurādo","ベオグラード","Belgrade (capital of Serbia)","9218","Proper noun","ベオグラード"
"supōtsukā","スポーツカー","sports car","9219","Unknown","スポーツカー"
"heburaigo","ヘブライ語","Hebrew language","9220","Noun","ヘブライ語"
"Nagata","ながた","A surname​.","9221","Unknown","永田"
"hosu","ほす","air, dry, desiccate","9222","Verb","干す"
"yōsetsu","ようせつ","a weld; welding","9223","Noun","溶接"
"ryūsei","りゅうせい","(astronomy) a meteor; a shooting star","9224","Noun","流星"
"rusu","るす","absence","9225","Noun","留守"
"Error","","","9226","",""
"dakkai","だっかい","recovery, recapture","9227","Unknown","奪回"
"rekka","れっか","deterioration","9228","Unknown","劣化"
"Error","","","9229","",""
"kyōsan","きょうさん","collaboration by companies or groups on events or projects","9230","Unknown","協賛"
"sanbutsu","さんぶつ","product","9231","Noun","産物"
"Error","","","9232","",""
"Error","","","9233","",""
"rōnin","ろうにん","a masterless samurai","9234","Noun","浪人"
"hōdai","ほうだい","Japanese translation of the title of a foreign work","9235","Noun","邦題"
"Error","","","9236","",""
"Error","","","9237","",""
"hansei","はんせい","reflection, introspection, meditation, contemplation","9238","Unknown","反省"
"mikan","みかん","incompletion, unfinishedness","9239","Unknown","未完"
"Error","","","9240","",""
"Error","","","9241","",""
"Error","","","9242","",""
"nakayoshi","なかよし","friendly","9243","Unknown","仲良し"
"Error","","","9244","",""
"sekushon","セクション","section","9245","Unknown","セクション"
"Error","","","9246","",""
"hirō","ひろう","fatigue","9247","Unknown","疲労"
"Nishiyama","にしやま","A surname​.","9248","Unknown","西山"
"tōron","とうろん","debate","9249","Noun","討論"
"Error","","","9250","",""
"kekkan","けっかん","defect","9251","Unknown","欠陥"
"shiku","しく","municipal district","9252","Noun","市区"
"Error","","","9253","",""
"Error","","","9254","",""
"Error","","","9255","",""
"maruku","マルク","mark (unit of weight)","9256","Unknown","マルク"
"budapesuto","ブダペスト","Budapest (the capital of Hungary)","9257","Proper noun","ブダペスト"
"Error","","","9258","",""
"orimono","おりもの","textile, fabric","9259","Unknown","織物"
"Manshū","まんしゅう","Alternative spelling of 満州 (“Manchuria”)","9260","Unknown","満洲"
"Error","","","9261","",""
"Masuda","ますだ","A surname​.","9262","Unknown","増田"
"kakujū","かくじゅう","expansion","9263","Unknown","拡充"
"Error","","","9264","",""
"Error","","","9265","",""
"Error","","","9266","",""
"jisoku","じそく","speed per hour","9267","Unknown","時速"
"Error","","","9268","",""
"Error","","","9269","",""
"Error","","","9270","",""
"Error","","","9271","",""
"Error","","","9272","",""
"tatoe","たとえ","an example, a simile, a metaphor, an allegory, a parable","9273","Unknown","たとえ"
"jōshiki","じょうしき","common sense","9274","Unknown","常識"
"kinkō","きんこう","balance, equilibrium","9275","Unknown","均衡"
"yūgekishu","ゆうげきしゅ","(baseball, softball) a shortstop","9276","Noun","遊撃手"
"atsui","あつい","(of an object or feeling) hot","9277","Adjective","熱い"
"Error","","","9278","",""
"nezuyoi","ねづよい","deep-rooted, inveterate, ineradicable","9279","Unknown","根強い"
"gaisetsu","がいせつ","outline","9280","Noun","概説"
"Error","","","9281","",""
"sokuryoku","そくりょく","speed","9282","Unknown","速力"
"-shū","しゅう","(slang, figuratively) stench of; whiff of; scent of","9283","Suffix","臭"
"Error","","","9284","",""
"Naijeria","ナイジェリア","Nigeria","9285","Proper noun","ナイジェリア"
"himen","ひめん","dismissal (deprivation of office)","9286","Unknown","罷免"
"umanushi","うまぬし","owner of horse(s), especially in relation to horse racing","9287","Noun","馬主"
"menkai","めんかい","face to face meeting","9288","Unknown","面会"
"sukima","すきま","crevice, crack, gap","9289","Unknown","隙間"
"Error","","","9290","",""
"Error","","","9291","",""
"kyaroru","キャロル","(music) a carol (religious song or ballad of joy)","9292","Noun","キャロル"
"Error","","","9293","",""
"odayaka","おだやか","calm, peaceful, quiet, tranquil","9294","Unknown","穏やか"
"Wakasa","わかさ","Wakasa Province, an old province of Japan","9295","Unknown","若狭"
"Error","","","9296","",""
"Error","","","9297","",""
"Error","","","9298","",""
"shimon","しもん","inquiry","9299","Unknown","諮問"
"Satān","サターン","(mythology, rare) Saturn, the Roman god","9300","Proper noun","サターン"
"Error","","","9301","",""
"koisuru","こいする","to be in love","9302","Unknown","恋する"
"goyō","ごよう","job, business for to do for someone","9303","Unknown","御用"
"Shinshinati","シンシナティ","Cincinnati","9304","Proper noun","シンシナティ"
"Error","","","9305","",""
"shinseki","しんせき","relative","9306","Unknown","親戚"
"hikkosu","ひっこす","to move house, to change residence","9307","Verb","引っ越す"
"Numata","ぬまた","a place name, such as that of Numata City in Gunma Prefecture","9308","Unknown","沼田"
"isogu","いそぐ","to hasten or to rush, in order to get something done or to get somewhere","9309","Verb","急ぐ"
"rekōdā","レコーダー","recorder (recording device)","9310","Noun","レコーダー"
"mochi","もち","a mochi","9311","Noun","餅"
"oidasu","おいだす","drive out, expel","9312","Unknown","追い出す"
"kawase","かわせ","money order","9313","Noun","為替"
"bijo","びじょ","a beautiful girl or woman; a beauty","9314","Noun","美女"
"odokasu","おどかす","threaten, intimidate","9315","Verb","脅かす"
"Error","","","9316","",""
"Error","","","9317","",""
"Error","","","9318","",""
"Error","","","9319","",""
"Kitamura","きたむら","A surname​.","9320","Unknown","北村"
"Jizō","じぞう","Kṣitigarbha, the bodhisattva who looks over children, pregnant women, travelers, and the underworld.","9321","Proper noun","地蔵"
"zanpai","ざんぱい","crushing defeat, humiliating defeat","9322","Unknown","惨敗"
"Error","","","9323","",""
"Error","","","9324","",""
"tasu","たす","add","9325","Unknown","足す"
"taikyo","たいきょ","departure, exit","9326","Noun","退去"
"Error","","","9327","",""
"kūhaku","くうはく","blank, empty","9328","Unknown","空白"
"seidō","せいどう","bronze","9329","Unknown","青銅"
"kanchō","かんちょう","government office","9330","Unknown","官庁"
"kenzen","けんぜん","healthy","9331","Unknown","健全"
"bunmyaku","ぶんみゃく","linguistic context","9332","Unknown","文脈"
"Error","","","9333","",""
"kokkō","こっこう","(diplomacy) diplomatic relations (diplomatic intercourse)","9334","Noun","国交"
"Error","","","9335","",""
"robī","ロビー","lobby","9336","Unknown","ロビー"
"Error","","","9337","",""
"onsetsu","おんせつ","(linguistics) syllable","9338","Unknown","音節"
"gunmu","ぐんむ","military duties, military affairs","9339","Unknown","軍務"
"Error","","","9340","",""
"Error","","","9341","",""
"rensō","れんそう","association of ideas","9342","Noun","連想"
"shōyu","しょうゆ","soy sauce","9343","Noun","醤油"
"Makao","マカオ","Macau","9344","Unknown","マカオ"
"Error","","","9345","",""
"Kōtō","こうとう","Kōtō ward in Tokyo","9346","Unknown","江東"
"taihi","たいひ","taking shelter","9347","Unknown","待避"
"kiiroi","きいろい","yellow","9348","Unknown","黄色い"
"hensai","へんさい","repayment; reimbursement; return of a loan","9349","Noun","返済"
"Takenaka","たけなか","A surname​.","9350","Unknown","竹中"
"kumikyoku","くみきょく","(music) suite","9351","Noun","組曲"
"mania","マニア","a fervent enthusiast of something; maniac","9352","Noun","マニア"
"Error","","","9353","",""
"Error","","","9354","",""
"inku","インク","ink","9355","Noun","インク"
"Error","","","9356","",""
"Error","","","9357","",""
"yayu","やゆ","ridicule, derision","9358","Unknown","揶揄"
"sadamaru","さだまる","settle, become settled","9359","Unknown","定まる"
"Error","","","9360","",""
"Konishi","こにし","A surname​.","9361","Unknown","小西"
"Error","","","9362","",""
"dame","だめ","no good; useless; hopeless","9363","Adjectival noun","駄目"
"Error","","","9364","",""
"zōfuku","ぞうふく","(electronics) amplification","9365","Noun","増幅"
"gakki","がっき","school term, trimester semester","9366","Unknown","学期"
"suigin","すいぎん","(chemistry) mercury; quicksilver","9367","Noun","水銀"
"Kazusa","かずさ","Kazusa Province, an old province of Japan","9368","Unknown","上総"
"naruto","なると","The city of Naruto; famous for its whirlpools.","9369","Unknown","鳴門"
"machigaeru","まちがえる","to make a mistake in","9370","Unknown","間違える"
"kaerizaku","かえりざく","bloom a second time, typically when a spring flower blooms in an Indian summer","9371","Unknown","返り咲く"
"Error","","","9372","",""
"gōmon","ごうもん","torture","9373","Unknown","拷問"
"Error","","","9374","",""
"taiboku","たいぼく","large tree","9375","Unknown","大木"
"Error","","","9376","",""
"Error","","","9377","",""
"uriagedaka","うりあげだか","amount sold, sales","9378","Unknown","売上高"
"zenshō","ぜんしょう","complete victory","9379","Noun","全勝"
"Error","","","9380","",""
"suraidā","スライダー","(baseball) slider","9381","Unknown","スライダー"
"kaji","かじ","fire (as a disaster); conflagration","9382","Noun","火事"
"hanazono","はなぞの","flower garden","9383","Noun","花園"
"makanau","まかなう","provide meals","9384","Unknown","賄う"
"ressun","レッスン","lesson","9385","Unknown","レッスン"
"shijitsu","しじつ","historical fact","9386","Unknown","史実"
"kessai","けっさい","settlement of payment","9387","Unknown","決済"
"bokō","ぼこう","alma mater","9388","Unknown","母校"
"piramiddo","ピラミッド","a pyramid (ancient construction)","9389","Noun","ピラミッド"
"hinto","ヒント","hint, clue","9390","Noun","ヒント"
"Error","","","9391","",""
"shōkan","しょうかん","a summons (an order or action)","9392","Noun","召喚"
"yūrei","ゆうれい","a ghost, a phantom","9393","Noun","幽霊"
"Hirayama","ひらやま","A surname​.","9394","Unknown","平山"
"midareru","みだれる","be confused, be disordered","9395","Unknown","乱れる"
"Error","","","9396","",""
"daisuki","だいすき","love (in both senses of loving a friend or family member and liking something quite a bit)","9397","Adjectival noun","大好き"
"yūsha","ゆうしゃ","hero, brave soul","9398","Unknown","勇者"
"Error","","","9399","",""
"Error","","","9400","",""
"kaizōdo","かいぞうど","resolution of an image or display","9401","Noun","解像度"
"hōdai","ほうだい","battery, fort","9402","Noun","砲台"
"awa","あわ","bubble","9403","Noun","泡"
"tsuru","つる","vine","9404","Unknown","蔓"
"Error","","","9405","",""
"torikakomu","とりかこむ","surround","9406","Unknown","取り囲む"
"iya","いや","disagreeable, unpleasant","9407","Adjectival noun","嫌"
"jūjika","じゅうじか","the cross, sign of the cross of Christ","9408","Unknown","十字架"
"gen'yu","げんゆ","crude oil","9409","Unknown","原油"
"dōshi","どうし","like-minded people, comrades in a general sense","9410","Noun","同志"
"kōhan","こうはん","wide","9411","Unknown","広範"
"honkō","ほんこう","this school","9412","Unknown","本校"
"Error","","","9413","",""
"Error","","","9414","",""
"jagā","ジャガー","a jaguar","9415","Noun","ジャガー"
"Error","","","9416","",""
"taii","たいい","abdication (the act of abdicating; the renunciation of a high office, dignity, or trust, by its holder)","9417","Noun","退位"
"Error","","","9418","",""
"sosū","そすう","a prime number","9419","Noun","素数"
"taisei","たいせい","resistance of an object to change under harsh conditions, such as in heat resistance","9420","Noun","耐性"
"Error","","","9421","",""
"Ōhira","おおひら","A surname​.","9422","Unknown","大平"
"Error","","","9423","",""
"kasutamu","カスタム","custom (clarification of this definition is being sought)","9424","Noun","カスタム"
"tosshutsu","とっしゅつ","protrusion, projection","9425","Unknown","突出"
"girei","ぎれい","etiquette, ceremony, courtesy","9426","Unknown","儀礼"
"kōgai","こうがい","pollution","9427","Unknown","公害"
"kyōdai","きょうだい","powerful","9428","Unknown","強大"
"Error","","","9429","",""
"Error","","","9430","",""
"Unnan","うんなん","Yunnan (a province of China)","9431","Unknown","雲南"
"shinsei","しんせい","(astronomy) nova","9432","Noun","新星"
"romansu","ロマンス","romance","9433","Noun","ロマンス"
"tengu","てんぐ","(Japanese mythology, Shinto, folklore) a tengu, a mythical Japanese creature, typically birdlike and having a long nose","9434","Noun","天狗"
"kika","きか","the process of taking citizenship in a foreign country; naturalization","9435","Noun","帰化"
"Error","","","9436","",""
"Error","","","9437","",""
"Error","","","9438","",""
"surōgan","スローガン","slogan","9439","Noun","スローガン"
"Error","","","9440","",""
"Error","","","9441","",""
"Error","","","9442","",""
"Error","","","9443","",""
"Error","","","9444","",""
"Error","","","9445","",""
"Error","","","9446","",""
"sakusan","さくさん","acetic acid","9447","Noun","酢酸"
"Tsutsui","つつい","A surname​.","9448","Unknown","筒井"
"happō","はっぽう","firing of a gun","9449","Unknown","発砲"
"kataki","かたき","Alternative form of 敵","9450","Noun","仇"
"Shīna","しいな","A surname​.","9451","Unknown","椎名"
"shiru","しる","juice","9452","Noun","汁"
"Error","","","9453","",""
"Error","","","9454","",""
"Error","","","9455","",""
"tsuide","ついで","next","9456","Unknown","次いで"
"datō","だとう","proper, right, appropriate, valid","9457","Unknown","妥当"
"Error","","","9458","",""
"bēta","ベータ","Beta; the Japanese transliteration of β, Β.","9459","Unknown","ベータ"
"hekiga","へきが","wall painting such as a fresco or a mural","9460","Noun","壁画"
"Shimamura","しまむら","A surname​.","9461","Unknown","島村"
"kyōmei","きょうめい","resonance of strings etc.","9462","Noun","共鳴"
"Error","","","9463","",""
"gekisakka","げきさっか","playwright, dramatist","9464","Noun","劇作家"
"Suriranka","スリランカ","Sri Lanka","9465","Unknown","スリランカ"
"Error","","","9466","",""
"Error","","","9467","",""
"shōsha","しょうしゃ","exposure to light","9468","Noun","照射"
"Error","","","9469","",""
"ohayō","おはよう","good morning","9470","Interjection","おはよう"
"botsuraku","ぼつらく","downfall, collapse","9471","Unknown","没落"
"Error","","","9472","",""
"Error","","","9473","",""
"Error","","","9474","",""
"Error","","","9475","",""
"gyūnyū","ぎゅうにゅう","cow's milk","9476","Noun","牛乳"
"hontō","ほんとう","main island","9477","Noun","本島"
"tatoeru","たとえる","compare, liken","9478","Verb","例える"
"sensu","センス","good sense for something like art, music, or tact, good taste in them, a feel for them","9479","Noun","センス"
"kannen","かんねん","idea, concept","9480","Noun","観念"
"nōen","のうえん","plantation","9481","Noun","農園"
"Kōkuri","こうくり","the Goguryeo kingdom of 37 BCE - 668 CE, one of the ancient Three Kingdoms of Korea, located in what is now North Korea and parts of Manchuria and far-eastern Russia","9482","Proper noun","高句麗"
"Error","","","9483","",""
"Yao","やお","Yao, Osaka","9484","Proper noun","八尾"
"banana","ばなな","a banana (a fruit)","9485","Noun","バナナ"
"seichū","せいちゅう","(entomology) imago (adult insect/ adult worm)","9486","Unknown","成虫"
"kaikai","かいかい","opening of a meeting","9487","Noun","開会"
"kinzuru","きんずる","to forbid","9488","Unknown","禁ずる"
"Sakura","さくら","A surname​.","9489","Proper noun","佐倉"
"sukoshizutsu","すこしずつ","little by little","9490","Unknown","少しずつ"
"pēpā","ペーパー","Paper (especially Western paper).","9491","Noun","ペーパー"
"isshō","いっしょう","a lifetime, one's whole life","9492","Unknown","一生"
"hangyaku","はんぎゃく","revolt, rebellion","9493","Noun","反逆"
"Error","","","9494","",""
"Error","","","9495","",""
"untenshu","うんてんしゅ","A professional driver of a train or an automobile such as a taxi or a bus; a chauffeur","9496","Unknown","運転手"
"tehai","てはい","arrangements","9497","Unknown","手配"
"saguru","さぐる","fumble for, feel around for","9498","Unknown","探る"
"Jawa","ジャワ","Java (island of Indonesia)","9499","Proper noun","ジャワ"
"Error","","","9500","",""
"gōu","ごうう","downpour, heavy rain","9501","Noun","豪雨"
"Error","","","9502","",""
"shūki","しゅうき","autumn","9503","Unknown","秋季"
"jitai","じたい","the form of a character","9504","Unknown","字体"
"genkoku","げんこく","plaintiff","9505","Unknown","原告"
"rinpa","リンパ","lymph","9506","Noun","リンパ"
"kyōkō","きょうこう","forcing its way","9507","Unknown","強行"
"getsumen","げつめん","the lunar surface; the surface of the moon","9508","Unknown","月面"
"ifuku","いふく","clothing, clothes","9509","Unknown","衣服"
"yomu","よむ","to compose a haiku or waka","9510","Unknown","詠む"
"dokusō","どくそう","musical solo","9511","Unknown","独奏"
"gashitsu","がしつ","picture quality","9512","Unknown","画質"
"repātorī","レパートリー","repertoire","9513","Noun","レパートリー"
"Error","","","9514","",""
"kyūshiki","きゅうしき","old-fashioned","9515","Adjectival noun","旧式"
"teisoku","ていそく","low speed","9516","Unknown","低速"
"tomodomo","ともども","working or acting together","9517","Unknown","共々"
"shōsoku","しょうそく","word (news, tidings)","9518","Unknown","消息"
"sōba","そうば","market price","9519","Noun","相場"
"Error","","","9520","",""
"muda","むだ","useless, no good","9521","Unknown","無駄"
"rōmaji","ローマ字","Latin alphabet","9522","Noun","ローマ字"
"kirai","きらい","hateful","9523","Unknown","嫌い"
"sansen","さんせん","mountains and rivers","9524","Noun","山川"
"Error","","","9525","",""
"fuhai","ふはい","decay, putrefaction","9526","Unknown","腐敗"
"ryūtai","りゅうたい","fluid (any state of matter which can flow)","9527","Noun","流体"
"pākā","パーカー","a parka","9528","Noun","パーカー"
"Error","","","9529","",""
"Yodogawa","よどがわ","Yodo River, a river in the Osaka Prefecture in Japan","9530","Proper noun","淀川"
"fuka","ふか","incubation","9531","Noun","孵化"
"Error","","","9532","",""
"Pueruto Riko","プエルトリコ","Puerto Rico","9533","Proper noun","プエルトリコ"
"Error","","","9534","",""
"Error","","","9535","",""
"oyogu","およぐ","to swim","9536","Verb","泳ぐ"
"Error","","","9537","",""
"Error","","","9538","",""
"kikyū","ききゅう","balloon (inflatable object to transport people or objects through the air)","9539","Unknown","気球"
"ēkā","エーカー","acre (unit of surface area)","9540","Unknown","エーカー"
"konpaira","コンパイラ","(computing) compiler","9541","Unknown","コンパイラ"
"kinbō","きんぼう","vicinity (proximity, or the state of being near)","9542","Noun","近傍"
"nankō","なんこう","hard flight, rough passage","9543","Unknown","難航"
"Error","","","9544","",""
"taimen","たいめん","interview, meeting","9545","Unknown","対面"
"Koike","こいけ","A surname​.","9546","Unknown","小池"
"Iwata","いわた","A surname​.","9547","Unknown","岩田"
"barādo","バラード","a ballad","9548","Noun","バラード"
"Error","","","9549","",""
"seigan","せいがん","petition","9550","Unknown","請願"
"Error","","","9551","",""
"namiki","なみき","roadside tree","9552","Noun","並木"
"meisaku","めいさく","masterpiece","9553","Unknown","名作"
"Error","","","9554","",""
"Hideki","ひでき","A male given name","9555","Unknown","秀樹"
"Error","","","9556","",""
"jittei","じってい","one's (biological) younger brother","9557","Unknown","実弟"
"wa","わ","a particle used in the end of sentences to indicates admiration or emotion","9558","Particle","わ"
"kyōbu","きょうぶ","chest (thorax)","9559","Unknown","胸部"
"Error","","","9560","",""
"gunbi","ぐんび","armament (arms collectively or equipment for resistance)","9561","Unknown","軍備"
"Burugōnyu","ブルゴーニュ","Burgundy","9562","Proper noun","ブルゴーニュ"
"Error","","","9563","",""
"jisshū","じっしゅう","practice; training; drill","9564","Unknown","実習"
"taiseki","たいせき","volume, capacity","9565","Unknown","体積"
"Error","","","9566","",""
"heikō","へいこう","balance, equilibrium","9567","Unknown","平衡"
"Error","","","9568","",""
"Error","","","9569","",""
"Error","","","9570","",""
"kamisama","かみさま","the god of a monotheistic religion","9571","Unknown","神様"
"haisen","はいせん","wiring","9572","Noun","配線"
"jukō","じゅこう","attending lectures or taking classes","9573","Unknown","受講"
"torofī","トロフィー","a trophy","9574","Noun","トロフィー"
"Doresuden","ドレスデン","Dresden","9575","Unknown","ドレスデン"
"Error","","","9576","",""
"yokushū","よくしゅう","the following week","9577","Unknown","翌週"
"āsu","アース","(electronics) A connection electrically to the ground; (US) ground; (UK) earth.","9578","Noun","アース"
"-hyō","ひょう","bags","9579","Counter","俵"
"nyorai","にょらい","(religion, Buddhism) a buddha","9580","Noun","如来"
"sayū","さゆう","left and right","9581","Noun","左右する"
"seisai","せいさい","(law) punishment; sanction","9582","Noun","制裁"
"Error","","","9583","",""
"Error","","","9584","",""
"majiru","まじる","mix with, blend with, join","9585","Verb","混じる"
"Shirai","しらい","A surname​.","9586","Unknown","白井"
"itan","いたん","heterodox","9587","Adjectival noun","異端"
"byōgen","びょうげん","cause or source of a disease, pathogenesis, etiology","9588","Noun","病原"
"hyōjō","ひょうじょう","expression (facial, bodily, etc.)","9589","Unknown","表情"
"Ichihara","いちはら","a place name, such as that of Ichihara City in Chiba Prefecture","9590","Unknown","市原"
"Nakanishi","なかにし","A surname​.","9591","Unknown","中西"
"kaeru","かえる","frog","9592","Noun","蛙"
"Akutagawa","あくたがわ","A surname​.","9593","Unknown","芥川"
"Error","","","9594","",""
"Fujioka","ふじおか","a place name, such as that of Fujioka City in Gunma Prefecture","9595","Unknown","藤岡"
"tentō","てんとう","shop front, counter","9596","Noun","店頭"
"Kyūyaku","きゅうやく","Clipping of 旧約聖書 (Kyūyaku Seisho, “Old Testament”).","9597","Proper noun","旧約"
"Error","","","9598","",""
"jokkī","ジョッキー","Synonym of 騎手 (kishu, “jockey”) (one who rides racehorses competitively)","9599","Noun","ジョッキー"
"Error","","","9600","",""
"kokku","コック","chef; cook","9601","Noun","コック"
"kyōhaku","きょうはく","threat","9602","Noun","脅迫"
"Error","","","9603","",""
"yagi","やぎ","a goat (animal)","9604","Noun","山羊"
"Error","","","9605","",""
"Error","","","9606","",""
"Kume","くめ","A surname​.","9607","Unknown","久米"
"hansuru","はんする","be contrary to, be inconsistent with, be opposite to","9608","Unknown","反する"
"tsukaiwakeru","つかいわける","use for different purposes, adapt, choose and use for different purposes, places, and times","9609","Unknown","使い分ける"
"enso","えんそ","chlorine, Cl","9610","Noun","塩素"
"kōn","コーン","a cone","9611","Noun","コーン"
"kyūkyoku","きゅうきょく","the ultimate, extreme","9612","Noun","究極"
"kaimono","かいもの","shopping, buying","9613","Noun","買い物"
"kakkiteki","かっきてき","groundbreaking, landmark, breakthrough","9614","Unknown","画期的"
"Error","","","9615","",""
"Error","","","9616","",""
"yōnin","ようにん","permission, toleration","9617","Unknown","容認"
"Error","","","9618","",""
"komaru","こまる","to have trouble (with something); to be in trouble; to be troubled","9619","Unknown","困る"
"Error","","","9620","",""
"sekidō","せきどう","(geography) equator","9621","Unknown","赤道"
"Error","","","9622","",""
"Error","","","9623","",""
"kanryaku","かんりゃく","simple","9624","Adjectival noun","簡略"
"tentō","てんとう","lighting a lamp","9625","Unknown","点灯"
"Error","","","9626","",""
"kyokugen","きょくげん","limit","9627","Noun","極限"
"Error","","","9628","",""
"hirai","ひらい","arrival by flying (e.g. birds, airplanes, or airborne pollutants)","9629","Unknown","飛来"
"onsoku","おんそく","the speed of sound","9630","Unknown","音速"
"shōmō","しょうもう","dissipation, exhaustion","9631","Unknown","消耗"
"saibu","さいぶ","details","9632","Unknown","細部"
"Ōnishi","おおにし","A surname​.","9633","Unknown","大西"
"kibun","きぶん","feeling, mood","9634","Unknown","気分"
"oshisusumeru","おしすすめる","push, press forward, pursue, drive","9635","Verb","推し進める"
"purazuma","プラズマ","plasma","9636","Unknown","プラズマ"
"Error","","","9637","",""
"Error","","","9638","",""
"Error","","","9639","",""
"monorēru","モノレール","(rail transport) monorail","9640","Noun","モノレール"
"kansō","かんそう","finishing the race, reaching the finish line, staying the course","9641","Noun","完走"
"Error","","","9642","",""
"kuyō","くよう","memorial service for the dead","9643","Noun","供養"
"Error","","","9644","",""
"Error","","","9645","",""
"Error","","","9646","",""
"Error","","","9647","",""
"Error","","","9648","",""
"Kurokawa","くろかわ","A surname​.","9649","Unknown","黒川"
"tennengasu","てんねんがす","natural gas","9650","Unknown","天然ガス"
"minoru","みのる","to bear fruit; to ripen","9651","Unknown","実る"
"Miwa","みわ","A surname​.","9652","Unknown","三輪"
"Error","","","9653","",""
"jōshi","じょうし","boss","9654","Noun","上司"
"mei","めい","the daughter of ones sibling; a niece","9655","Noun","姪"
"sen'yū","せんゆう","total possession, monopolization","9656","Unknown","占有"
"kaijō","かいじょう","opening of an event or public space","9657","Noun","開場"
"Error","","","9658","",""
"kosu","こす","to cross, go over","9659","Verb","越す"
"Error","","","9660","",""
"Yukio","ゆきお","A male given name","9661","Unknown","由紀夫"
"kurippu","クリップ","paperclip","9662","Noun","クリップ"
"tōrai","とうらい","arrival","9663","Noun","到来"
"Error","","","9664","",""
"shinsha","しんしゃ","a new car","9665","Noun","新車"
"Error","","","9666","",""
"uri","うり","gourd, squash, melon","9667","Noun","瓜"
"Error","","","9668","",""
